device_id,owner_address,timestamp,temperature_celsius,feels_like_celsius,dew_point_celsius,humidity_percent,precipitation_mm,wind_speed_kmh,wind_direction_degrees,visibility_km,conditions,encrypted_data,data_hash
did:lcore:weather-station-oakland-1,PLACEHOLDER_FOR_CARTESI,1640995200,7.11111111111111,4.61111111111111,2.2222222222222223,71.0,0.0,8.3,343.0,9.9,Clear,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-2,PLACEHOLDER_FOR_CARTESI,1640998800,5.499999999999999,5.499999999999999,1.8333333333333317,77.31,0.0,1.2,358.0,9.6,Clear,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-3,PLACEHOLDER_FOR_CARTESI,1641002400,5.333333333333334,4.388888888888888,2.000000000000001,79.2,0.0,3.2,122.0,9.7,Clear,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-4,PLACEHOLDER_FOR_CARTESI,1641006000,3.2222222222222205,1.6111111111111103,0.8888888888888897,84.44,0.0,4.0,92.0,9.9,Clear,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-5,PLACEHOLDER_FOR_CARTESI,1641009600,4.000000000000002,2.5,1.555555555555554,84.14,0.0,3.9,24.0,9.9,Clear,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-1,PLACEHOLDER_FOR_CARTESI,1641013200,3.555555555555555,3.555555555555555,1.3333333333333326,85.36,0.0,2.5,360.0,9.9,Clear,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-2,PLACEHOLDER_FOR_CARTESI,1641016800,3.3888888888888897,3.3888888888888897,1.3888888888888888,86.6,0.0,0.0,0.0,9.9,Clear,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-3,PLACEHOLDER_FOR_CARTESI,1641020400,3.3888888888888897,3.3888888888888897,0.8333333333333334,83.34,0.0,0.0,0.0,9.9,Partially cloudy,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-4,PLACEHOLDER_FOR_CARTESI,1641024000,2.7777777777777777,1.2222222222222239,0.5555555555555556,85.32,0.0,3.7,82.0,9.9,Partially cloudy,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-5,PLACEHOLDER_FOR_CARTESI,1641027600,5.555555555555555,5.555555555555555,2.000000000000001,77.88,0.0,0.7,320.0,9.9,Partially cloudy,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-1,PLACEHOLDER_FOR_CARTESI,1641031200,8.055555555555555,7.555555555555555,2.944444444444443,69.96,0.0,3.2,97.0,9.9,Partially cloudy,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-2,PLACEHOLDER_FOR_CARTESI,1641034800,8.666666666666666,7.222222222222222,2.333333333333335,64.5,0.0,5.7,167.0,9.9,Partially cloudy,CARTESI_GENERATED,CARTESI_GENERATED
did:lcore:weather-station-oakland-3,PLACEHOLDER_FOR_CARTESI,1641038400,9.444444444444445,7.944444444444443,-0.44444444444444486,50.07,0.0,6.4,263.0,9.9,Partially cloudy,CARTESI_GENERATED,CARTESI_GENERATED
